id,title,tagline,release_date,genres,belongs_to_collection,original_language,budget_musd,revenue_musd,profit_musd,roi,production_companies,production_countries,vote_count,vote_average,popularity,runtime,overview,spoken_languages,poster_path,cast,cast_size,director,crew_size
10000,Looper,Hunted by your future.,2012-09-28,Action|Thriller|Science Fiction,,en,30.0,176.5,146.5,5.883333333333334,TriStar Pictures,United States of America,6800,6.6,40.0,119.0,A generic movie overview.,English,/poster.jpg,Joseph Gordon-Levitt|Bruce Willis|Emily Blunt,3,Rian Johnson,2
299534,Avengers: Endgame,Avenge the fallen.,2019-04-26,Adventure|Action|Science Fiction,The Avengers Collection,en,356.0,2797.800564,2441.800564,7.858990348314607,Marvel Studios,United States of America,25000,8.3,120.0,181.0,A generic movie overview.,English,/poster.jpg,Robert Downey Jr.|Chris Evans|Mark Ruffalo,3,Anthony Russo,3
351286,Jurassic World: Fallen Kingdom,Life finds a way.,2018-06-06,Action|Adventure|Science Fiction,Jurassic Park Collection,en,170.0,1310.466296,1140.466296,7.708625270588236,Universal Pictures,United States of America,14000,6.5,75.0,128.0,A generic movie overview.,English,/poster.jpg,Chris Pratt|Bryce Dallas Howard,2,J.A. Bayona,2
10003,Indie Zero Budget Film,,2020-01-01,Drama,,en,,,,,Unknown Studio,United States of America,0,0.0,1.0,,,English,/poster.jpg,Unknown Actor,1,Some Director,2
19995,Avatar,Enter the world.,2009-12-15,Science Fiction|Adventure,Avatar Collection,en,237.0,2847.0,2610.0,12.012658227848101,20th Century Fox,United States of America,29000,7.6,100.0,162.0,A generic movie overview.,English,/poster.jpg,Sam Worthington|Zoe Saldana,2,James Cameron,2
10001,Kill Bill: Vol. 1,Go for the kill.,2003-10-10,Action|Crime|Thriller,Kill Bill Collection,en,30.0,180.906076,150.906076,6.030202533333334,Miramax,United States of America,7800,8.0,45.0,111.0,A generic movie overview.,English,/poster.jpg,Uma Thurman|Lucy Liu|David Carradine,3,Quentin Tarantino,2
10002,Kill Bill: Vol. 2,The bride is back for the final cut.,2004-04-16,Action|Crime|Thriller,Kill Bill Collection,en,30.0,152.159461,122.159461,5.071982033333333,Miramax,United States of America,6900,7.9,42.0,137.0,A generic movie overview.,English,/poster.jpg,Uma Thurman|David Carradine,2,Quentin Tarantino,2
135397,Jurassic World,The park is open.,2015-06-06,Action|Adventure|Science Fiction,Jurassic Park Collection,en,150.0,1670.400637,1520.400637,11.136004246666666,Universal Pictures,United States of America,18000,6.7,80.0,124.0,A generic movie overview.,English,/poster.jpg,Chris Pratt|Bryce Dallas Howard,2,Colin Trevorrow,2
299536,Avengers: Infinity War,An entire universe. Once and for all.,2018-04-25,Adventure|Action|Science Fiction,The Avengers Collection,en,300.0,2048.359754,1748.359754,6.827865846666667,Marvel Studios,United States of America,24000,8.3,110.0,149.0,A generic movie overview.,English,/poster.jpg,Robert Downey Jr.|Chris Hemsworth,2,Anthony Russo,3
597,Titanic,Nothing on Earth could come between them.,1997-11-18,Drama|Romance,,en,200.0,2201.647264,2001.6472640000002,11.008236320000002,Paramount Pictures,United States of America,22000,7.9,90.0,194.0,A generic movie overview.,English,/poster.jpg,Leonardo DiCaprio|Kate Winslet,2,James Cameron,2
24428,The Avengers,Some assembly required.,2012-04-25,Science Fiction|Action,The Avengers Collection,en,220.0,1518.815515,1298.815515,6.903706886363636,Marvel Studios,United States of America,21000,7.7,98.0,143.0,A generic movie overview.,English,/poster.jpg,Robert Downey Jr.|Chris Evans|Scarlett Johansson,3,Joss Whedon,2
